Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Propane,Digital Design,Fueling digital transformation,4.7,12 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,10 - 49,"San Francisco, CA","Web Design,Web Development,Branding,Digital Strategy,Product Design,Search Engine Optimization,UX/UI Design","30,20,10,10,10,10,10","""Propane was highly responsive, collaborative, professional, and easy to work with.""",http://www.propane.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-design,https://clutch.co/profile/propane
NEWMEDIA.COM,Digital Design,We Scale Brands.® - Top 1% Digital Agency,5.0,12 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,50 - 249,"Denver, CO","Search Engine Optimization,Web Development,Conversion Optimization,Digital Strategy,E-Commerce Development,Ecommerce Marketing,Marketing Strategy,Social Media Marketing,Web Design","15,15,10,10,10,10,10,10,10","""We wouldn't have this new work were it not for NEWMEDIA's design skills.""",https://newmedia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-design,https://clutch.co/profile/newmediacom-1
Full Clarity,Digital Design,UX design & Application development,5.0,12 REVIEWS,Yes,"$25,000+",$100 - $149 / hr,2 - 9,"Farnham, United Kingdom","UX/UI Design,Custom Software Development,Web Development,AR/VR Development,Enterprise App Modernization","50,15,15,10,10",“They were great at discovery and project scoping.”,https://fullclarity.co.uk/?utm_source=clutch&utm_medium=directory&utm_campaign=online-presence&utm_term=full-clarity,https://clutch.co/profile/full-clarity
RNO1,Digital Design,We make waves™.,4.7,5 REVIEWS,Yes,"$10,000+",$200 - $300 / hr,50 - 249,"San Francisco, CA","Blockchain,Branding,UX/UI Design,Web Design","30,30,30,10","""I felt like I was really their only client the whole time, and we weren’t. They [RNO1] also really seem like they…""",https://rno1.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-design,https://clutch.co/profile/rno1
BB Agency,Digital Design,Full Service Digital Agency,4.9,8 REVIEWS,Yes,"$25,000+",$100 - $149 / hr,10 - 49,"Krk, Croatia","Branding,Web Design,UX/UI Design,Web Development","30,30,20,20","""They understand the balance between B2B professionalism and the boldness of design.""",https://bb.agency/contact/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/bb-agency
Qubstudio,Digital Design,Digital Product Design and Branding Agency,4.9,64 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,50 - 249,"London, United Kingdom",UX/UI Design,100,"""Qubstudio brings to bear some of the best designers and analysts that I have worked with in the past 30 years.""",http://qubstudio.com/?utm_source=clutch.co&utm_campaign=agencies-digital-design,https://clutch.co/profile/qubstudio
EMERGE,Digital Design,High-value digital experiences. #1 UX Company,4.8,25 REVIEWS,Yes,"$50,000+",$150 - $199 / hr,10 - 49,"Portland, OR","UX/UI Design,Product Design","90,10",“EMERGE has a phenomenal process and lots of expertise when it comes to UX/UI.”,https://www.emergeinteractive.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=digital-design,https://clutch.co/profile/emerge
Adchitects,Digital Design,World-Class Digital Products. On-time. On-budget.,4.9,46 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,10 - 49,"Poznań, Poland","Web Design,Web Development,E-Commerce Development,Mobile App Development,UX/UI Design","35,25,20,10,10","""They knew how to run a tight ship — their control was impressive, even bordering on mechanical.""",https://adchitects.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-design,https://clutch.co/profile/adchitects
Specno,Digital Design,Design-Build-Launch Mobile and Web Applications,5.0,30 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,50 - 249,"Cape Town, South Africa","Mobile App Development,Custom Software Development,UX/UI Design","60,20,20",“They stepped into the startup mind and assisted us by looking holistically at everything.”,https://www.specno.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/specno
Netgen,Digital Design,UX and web development services and solutions,5.0,10 REVIEWS,Yes,"$25,000+",$100 - $149 / hr,10 - 49,"Zagreb, Croatia","E-Commerce Development,Web Development,UX/UI Design,Web Design","30,30,20,20","""Netgen fits well into our system and contributes to making it better.""",https://netgen.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-design,https://clutch.co/profile/netgen
Masterly,Digital Design,UI/UX and Digital Product Design Agency,5.0,3 REVIEWS,Yes,"$5,000+",$50 - $99 / hr,10 - 49,"Cheyenne, WY","UX/UI Design,Branding,E-Commerce Development,Ecommerce Marketing,Graphic Design,Search Engine Optimization,Web Design","40,10,10,10,10,10,10","""They provided valuable insights and presented well-reasoned solutions that aligned with our objectives.""",https://masterly.digital/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-design,https://clutch.co/profile/masterly
Studio Carbon,Digital Design,Realising better futures through design,5.0,4 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,10 - 49,"Amsterdam, Netherlands","Product Design,Branding,UX/UI Design,Graphic Design,Logo","30,25,25,10,10","""Their design philosophy is truly one of a kind.""",https://studiocarbon.in/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-design,https://clutch.co/profile/studio-carbon
