Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
AtticSalt Branding,Logo Designers,Brand Mastery,5.0,25 REVIEWS,Yes,"$25,000+",$150 - $199 / hr,2 - 9,"Scottsdale, AZ","Logo,Branding,Graphic Design","15,70,15",“I truly can’t say enough good things about how great our experience was with AtticSalt Branding.”,http://atticsalt.co/?utm_source=clutch.co&utm_medium=referral,https://clutch.co/profile/atticsalt-branding
Burst Digital,Logo Designers,We create & grow show-stopping brands worldwide.,4.9,9 REVIEWS,Yes,"$5,000+",$50 - $99 / hr,2 - 9,"London, United Kingdom","Logo,Branding,Web Design,Graphic Design,Search Engine Optimization,Social Media Marketing,UX/UI Design,Web Development","10,20,20,10,10,10,10,10",“We’re most impressed with Burst Digital’s flexibility and willingness to go the extra mile to cater to our needs.,https://burstdgtl.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,https://clutch.co/profile/burst-digital-1
VerveBranding by VerveLogic LLC,Logo Designers,One-Stop for solution for all your branding needs,4.9,9 REVIEWS,Yes,"$1,000+",< $25 / hr,50 - 249,"Jaipur, India","Logo,Branding,Packaging Design","60,20,20","""Vervelogic is one of the world's top graphic and logo design companies.""",https://www.vervebranding.com/?utm_source=clutch&utm_medium=spon&utm_campaign=clutch23&utm_id=clutch23,https://clutch.co/profile/vervebranding-vervelogic
Marchio,Logo Designers,We help willing brands make a lasting mark.,5.0,6 REVIEWS,Yes,"$25,000+",$200 - $300 / hr,2 - 9,"Los Angeles, CA","Logo,Branding","50,50",“They were absolutely brilliant.”,https://hellomarchio.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-logo-designers,https://clutch.co/profile/marchio
Varga Girl Design,Logo Designers,Pretty. Powerful.,5.0,23 REVIEWS,Yes,"$5,000+",$150 - $199 / hr,2 - 9,"Toronto, Canada","Logo,Branding,Print Design,Graphic Design","30,30,25,15",“Rachel delivers on-brand custom designs and website projects that stand out in a sea of sameness.,https://vargagirldesign.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-logo-designers,https://clutch.co/profile/varga-girl-design
"OrangeYouGlad, LLC",Logo Designers,Brooklyn's freshest little creative agency,5.0,12 REVIEWS,Yes,"$25,000+",$150 - $199 / hr,2 - 9,"Brooklyn, NY","Logo,UX/UI Design,Branding","25,50,25","""They became valuable thought partners, offering valuable insights and expertise to enhance our project.""",https://orangeyouglad.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-logo-designers,https://clutch.co/profile/orangeyouglad
Rayvn Design,Logo Designers,Superior Branding & Design,4.9,9 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,2 - 9,"Mississauga, Canada","Logo,Branding,Graphic Design,Social Media Marketing,Web Design","10,60,10,10,10","""They were immediately excited at the opportunity to rebrand and design.""",http://rayvn.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/rayvn-design
Logo Poppin,Logo Designers,"Create, Excite, Engage, and Grow - We Show you how",5.0,18 REVIEWS,Yes,"$1,000+",$25 - $49 / hr,50 - 249,"Alpharetta, GA","Logo,Custom Software Development,E-Commerce Development,Web Design,Web Development","15,25,20,20,20","""I was very impressed with the outstanding customer service and the knowledge of the team.""",https://logopoppin.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-logo-designers,https://clutch.co/profile/logo-poppin
ElephantMark LLC,Logo Designers,We Build Brands from the Ground up,4.9,17 REVIEWS,Yes,"$10,000+",$150 - $199 / hr,2 - 9,"Lakewood Ranch, FL","Logo,Branding,Web Design,Marketing Strategy,UX/UI Design","25,40,15,10,10","""The end result was something I am very proud to present to my clients.""",https://www.elephantmark.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-logo-designers,https://clutch.co/profile/elephantmark
Propaganda Creative,Logo Designers,We build compelling brands that connect.,4.9,5 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,10 - 49,"Spokane, WA","Logo,Branding,Graphic Design,Social Media Marketing","20,40,20,20","""They take an idea from what we said and turn it into something that's cool and ready to be shared with the public.""",https://propagandacreative.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-logo-designers,https://clutch.co/profile/propaganda-creative
