Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Goji Labs,UX Design,Build It Right The First Time,5.0,55 REVIEWS,Yes,"$25,000+",$100 - $149 / hr,10 - 49,"Los Angeles, CA","UX/UI Design,Mobile App Development,Custom Software Development,Web Development","40,40,10,10",“Goji Labs is very forward-thinking and knowledgeable in their space.”,https://gojilabs.com/product-agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/goji-labs
Momentum Design Lab,UX Design,Creating the Future State - #1 UX Agency 2016-23,4.8,81 REVIEWS,Yes,"$25,000+",$150 - $199 / hr,10 - 49,"San Mateo, CA",UX/UI Design,100,“Momentum Design Lab performed their service at a high standard.”,https://momentumdesignlab.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/momentum-design-lab
Neuron,UX Design,UX/UI Design for B2B Workplace Products,5.0,39 REVIEWS,Yes,"$25,000+",$100 - $149 / hr,10 - 49,"San Francisco, CA",UX/UI Design,100,“Neuron seemed to have the magic blend between operating strategically and executing tactically.”,https://www.neuronux.com/home?utm_source=clutch&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/neuron
Qubstudio,UX Design,Digital Product Design and Branding Agency,4.9,64 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,50 - 249,"London, United Kingdom",UX/UI Design,100,"""Qubstudio brings to bear some of the best designers and analysts that I have worked with in the past 30 years.""",http://qubstudio.com/?utm_source=clutch.co&utm_campaign=sponsorship-agencies-ui-ux,https://clutch.co/profile/qubstudio
Aubergine Solutions,UX Design,Creating impact through design and technology,4.9,37 REVIEWS,Yes,"$10,000+",$25 - $49 / hr,50 - 249,"Bengaluru, India","UX/UI Design,Mobile App Development,Web Development","80,10,10",“Aubergine Solutions is true to their craft; they find out what I need and deliver.”,https://auberginesolutions.com/clutch-landing/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/aubergine-solutions
Dreamten,UX Design,Crafting amazing digital products,5.0,35 REVIEWS,Yes,"$25,000+",$100 - $149 / hr,10 - 49,"Raleigh, NC",UX/UI Design,100,"""They are world-class designers who are also thinking about how they invest their time and energy.""",http://dreamten.com/?utm_source=clutch&utm_medium=referral&utm_campaign=user-experience,https://clutch.co/profile/dreamten
QU'ARTE,UX Design,We Design. Users Love. Products Succeed.,5.0,15 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,10 - 49,"London, United Kingdom",UX/UI Design,100,''They value the customer relationship above all else.'',https://quarte.design/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/quarte
Purrweb,UX Design,We build UI/UX focused MVPs within 3 months,4.9,36 REVIEWS,Yes,"$5,000+",$50 - $99 / hr,50 - 249,"Al Jazirah Al Hamra, United Arab Emirates","UX/UI Design,Mobile App Development","50,50","""Everything was delivered on time.""",https://www.purrweb.com/services/ui-ux-clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/purrweb
Designli,UX Design,Transformative By Design.,5.0,52 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,10 - 49,"Greenville, SC","UX/UI Design,Mobile App Development,Custom Software Development,Web Development","20,50,20,10","""Working with Designli has been one of the best experiences I’ve ever had.""",https://designli.co/?utm_source=clutch.co&utm_medium=referral,https://clutch.co/profile/designli
BairesDev,UX Design,"Nearshore Software Development, Staff Augmentation",4.9,45 REVIEWS,Yes,"$50,000+",$50 - $99 / hr,"1,000 - 9,999","San Francisco, CA","UX/UI Design,Custom Software Development,IT Staff Augmentation,Web Development,Application Testing,Mobile App Development","15,25,25,15,10,10","""They work with our ""one band, one sound"" philosophy of having a single, integrated team.""",https://bairesdev.com/landing/c/software-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/bairesdev
Simublade,UX Design,Your Custom Product Lab 🚀,5.0,14 REVIEWS,Yes,"$25,000+",$50 - $99 / hr,50 - 249,"Houston, TX","UX/UI Design,Mobile App Development,AI Development","10,50,40","""They were very flexible with accepting input.""",http://www.simublade.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/simublade
Excited,UX Design,"Product Design Agency | Web, SaaS, Mobile",5.0,37 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,10 - 49,"L'viv, Ukraine","UX/UI Design,Web Design","90,10","""I am continually impressed with the quality, communication, and value they consistently provide.""",https://excited.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/excited
Flying Bisons,UX Design,Digital Consulting & Delivery Services,4.8,36 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,50 - 249,"Warszawa, Poland",UX/UI Design,100,"""They are willing to walk us through the process while we are learning.""",https://flyingbisons.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/flying-bisons
Angle2,UX Design,UX/UI design and redesign of SaaS and web apps,5.0,22 REVIEWS,Yes,"$5,000+",$25 - $49 / hr,10 - 49,"Tallinn, Estonia",UX/UI Design,100,"""The whole team is very good to work with, deliver things on time and always stay on top of their work.""",https://angle2.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/angle2
Precode,UX Design,Digital Product Design Agency,5.0,7 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,2 - 9,"London, United Kingdom",UX/UI Design,100,"""Precode's skills and experience are top-notch, and the level of quality they provide is exceptional.""",https://precode.co/clutch?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/precode
WANDR,UX Design,Product design experts specializing in B2B SaaS,5.0,26 REVIEWS,Yes,"$25,000+",$150 - $199 / hr,10 - 49,"Los Angeles, CA","UX/UI Design,Product Design","90,10",“They have a lot of experience in strategically and systematically doing design work.”,https://wandr.studio/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/wandr
Metacarbon,UX Design,UI/UX Design for Startups and Growing Products,5.0,25 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,10 - 49,"L'viv, Ukraine",UX/UI Design,100,"""Metacarbon is the most no non-sense group of designers you will come across.""",https://metacarbon.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/metacarbon
tonik,UX Design,you & tonik - your design partner,4.9,31 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,50 - 249,"Poznań, Poland","UX/UI Design,Branding,Web Design","80,10,10","""Their straightforward approach to design was amazing.""",https://tonik.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/tonik
DePalma Studios,UX Design,Nashville's UX/UI leader for 11+ years,5.0,24 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,10 - 49,"Nashville, TN","UX/UI Design,Custom Software Development","90,10","“Their design capabilities are the jewel of their company, and their development work is impressive.”",https://www.depalmastudios.com/clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/depalma-studios
ROSSUL,UX Design,Design is simple,4.9,17 REVIEWS,Yes,"$25,000+",$100 - $149 / hr,10 - 49,"Toronto, Canada",UX/UI Design,100,"“We wanted something clean, easy, and simple, and they delivered.”",https://www.rossul.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/rossul
Arounda,UX Design,"Product Design Agency: SaaS, B2B, Fintech Web3",5.0,24 REVIEWS,Yes,"$10,000+",$25 - $49 / hr,10 - 49,"Odesa, Ukraine","UX/UI Design,Branding,Graphic Design,Web Design","70,10,10,10","""The value of their work is good — an improvement from that of past vendors.""",https://www.arounda.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/arounda
Osedea,UX Design,"Code forth and prosper, with Osedea.",4.8,23 REVIEWS,Yes,"$50,000+",$100 - $149 / hr,50 - 249,"Montreal, Canada","UX/UI Design,Custom Software Development,Mobile App Development,AI Development","30,30,30,10","""They accommodated our requests as the project went into the plan.""",https://www.osedea.com/en/contact?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/osedea
The Story | UX Design + Custom Development,UX Design,Approach. Design. Expertise. Contract. Pricing. 😍,5.0,20 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,10 - 49,"Warszawa, Poland","UX/UI Design,Custom Software Development,Web Development,Web Design","40,30,20,10","""Their passion, professionalism, transparency, and love of detail were astonishing.""",https://thestory.is/en/services/user-experience/,https://clutch.co/profile/story-ux-design-custom-development
Adchitects,UX Design,World-Class Digital Products. On-time. On-budget.,4.9,46 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,10 - 49,"Poznań, Poland","UX/UI Design,Web Design,Web Development,E-Commerce Development,Mobile App Development","10,35,25,20,10","""They knew how to run a tight ship — their control was impressive, even bordering on mechanical.""",https://adchitects.co/?utm_source=clutch&utm_medium=organic&utm_campaign=cta,https://clutch.co/profile/adchitects
Slide UX,UX Design,"The approachable choice for UX and UI, since 2012.",5.0,60 REVIEWS,Yes,"$50,000+",$150 - $199 / hr,10 - 49,"Austin, TX",UX/UI Design,100,"""The team and the people at Slide UX is what makes them unique and and such a pleasure to work with.""",https://slideux.com/?utm_source=clutch.co&utm_medium=referral,https://clutch.co/profile/slide-ux
Eleken,UX Design,UI/UX Design Partner for SaaS,4.9,54 REVIEWS,Yes,"$10,000+",$25 - $49 / hr,50 - 249,"Kyiv, Ukraine",UX/UI Design,100,"""The three-day trial was very unique, giving you a risk-free chance to try working with them.""",https://www.eleken.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ux-design,https://clutch.co/profile/eleken
Browser London,UX Design,A strategic UX approach that delivers results,4.8,17 REVIEWS,Yes,"$10,000+",$100 - $149 / hr,10 - 49,"London, United Kingdom","UX/UI Design,Web Design","80,20","""They made it easy for us to work with them and deliver the result we needed.""",https://www.browserlondon.com/?utm_source=clutch.co&utm_medium=referral,https://clutch.co/profile/browser-london
EnterPi,UX Design,Design. Develop. Deliver.,4.9,13 REVIEWS,Yes,"$10,000+",$25 - $49 / hr,50 - 249,"Rai Durg, India","UX/UI Design,Custom Software Development,Mobile App Development","60,20,20","""The end solution was amazing.""",https://enterpi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/enterpi
Fuego UX,UX Design,We design simple & intuitive digital experiences,5.0,17 REVIEWS,Yes,"$10,000+",$150 - $199 / hr,2 - 9,"Boulder, CO","UX/UI Design,Product Design,Web Design","80,10,10","""I was blown away by the professionalism and expertise in their craft.""",http://fuegoux.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/fuego-ux
Widelab,UX Design,Design a Product that users really desire,4.9,55 REVIEWS,Yes,"$5,000+",$50 - $99 / hr,50 - 249,"Gdańsk, Poland","UX/UI Design,Custom Software Development,Product Design,Web Design","50,20,20,10","""They have a great combo of design and coding skills.""",https://widelab.co/,https://clutch.co/profile/widelab
Darly Solutions,UX Design,Your success is our priority!,5.0,15 REVIEWS,Yes,"$5,000+",$50 - $99 / hr,50 - 249,"Warszawa, Poland","UX/UI Design,Web Development,Mobile App Development,Web Design","40,30,20,10","""Their unwavering commitment to my project and genuine desire for my success was impressive.""",https://darly.solutions/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/darly-solutions
