Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Bujou Studios,Interior Design,The Creative Ecosystem.,5.0,9 REVIEWS,No,"$10,000+",$150 - $199 / hr,10 - 49,"Calgary, Canada","Interior Design,Social Media Marketing,Digital Strategy,Advertising,Branding,Event Marketing & Planning,Public Relations,Video Production","15,20,15,10,10,10,10,10","""I was very impressed with their overall communication.""",https://bujou.ca/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-design-interior,https://clutch.co/profile/bujou-studios
Arsight,Interior Design,NYC Award-Winning Interior Design Studio,5.0,5 REVIEWS,No,"$50,000+",Undisclosed,2 - 9,"New York, NY",Interior Design,100,"""Arsight's hired interior designer showcased adept project management, consistently meeting deadlines.""",https://www.arsight.co/,https://clutch.co/profile/arsight
Duelle,Interior Design,Boutique female-led Interior Design studio,4.9,7 REVIEWS,No,"$250,000+",$100 - $149 / hr,2 - 9,"London, United Kingdom",Interior Design,100,"“They’re really good at facing challenges. Our challenge was a tight budget, but they found solutions for it.”",https://duelle.studio/,https://clutch.co/profile/duelle
wknd designs,Interior Design,"More Than Just Pretty, Purposeful.",5.0,2 REVIEWS,No,"$50,000+",$150 - $199 / hr,10 - 49,"Calgary, Canada",Interior Design,100,"""We couldn't be any happier with the services they provided.""",https://www.wknddesigns.ca/,https://clutch.co/profile/wknd-designs
K-Studio,Interior Design,Creating 3D visualizations and interior design,5.0,4 REVIEWS,No,"$1,000+",< $25 / hr,2 - 9,"Sambir, Ukraine","Interior Design,Architectural Design","70,30","""I felt like I was always in the loop on finish dates for each portion of work.""",https://3dinteriorrenders.com/,https://clutch.co/profile/k-studio
CKDESIGN Licensed Interior Design,Interior Design,"AAA, Licensed Interior Design Studio in AB, Canada",5.0,4 REVIEWS,No,"$10,000+",$150 - $199 / hr,2 - 9,"Edmonton, Canada",Interior Design,100,"""They really delved into finding out who we were and what we wanted out of our space.""",https://www.ckdesignassociates.com/,https://clutch.co/profile/ckdesign-licensed-interior-design
Unity Interiors,Interior Design,Design | Planning | Consulting,5.0,1 REVIEW,No,"$1,000+",< $25 / hr,2 - 9,"Ahmedabad, India","Interior Design,Architectural Design","70,30","""Their coordination and design sense were impressive.""",http://unityinteriors.com/,https://clutch.co/profile/unity-interiors
Studio Skara,Interior Design,SPACES TO LIVE & DREAM IN...,5.0,2 REVIEWS,No,"$10,000+",$100 - $149 / hr,2 - 9,"Los Angeles, CA",Interior Design,100,"""They immediately imagined what would instantly make my space more comfortable and functional.""",http://www.studioskara.com/,https://clutch.co/profile/studio-skara
eeternal DESIGNS,Interior Design,Design Suites Your Brand Style,5.0,1 REVIEW,No,Undisclosed,Undisclosed,50 - 249,"Mumbai, India",Interior Design,100,"“They get things done, and they don’t charge too much.”",http://eeternaldesigns.com/,https://clutch.co/profile/eeternal-designs
Brandon Archibald,Interior Design,Space branding agency,5.0,4 REVIEWS,No,"$5,000+",$25 - $49 / hr,10 - 49,"Odesa, Ukraine","Interior Design,Branding,Marketing Strategy,Architectural Design,Content Marketing,Digital Strategy,Market Research,Social Media Marketing","25,25,25,5,5,5,5,5","""They knew how to listen and understand, I think it was incredible.""",https://brandon-archibald.com/,https://clutch.co/profile/brandon-archibald
A&T Events and Exhibitions,Interior Design,Art without limits,4.5,1 REVIEW,No,"$5,000+",$50 - $99 / hr,10 - 49,United Arab Emirates,"Interior Design,Event Marketing & Planning","50,50","""We did not have to go back-and-forth on anything.""",http://www.at-s.ae/,https://clutch.co/profile/events-exhibitions
Eleven Interiors,Interior Design,Luxury Interior Design Collaborative,5.0,1 REVIEW,No,"$250,000+",$200 - $300 / hr,2 - 9,"Boston, MA",Interior Design,100,"“They managed to turn a house into a home and made it warm, inviting, interesting, and contemporary.”",http://eleveninteriors.com/,https://clutch.co/profile/eleven-interiors
Nord Designs,Interior Design,Design matters,5.0,2 REVIEWS,No,"$1,000+",< $25 / hr,2 - 9,"L'viv, Ukraine","Interior Design,Product Design","75,25",“Nord Designs is incredibly professional in the way they deal with us and structure the project.”,https://nord-design.com.ua/,https://clutch.co/profile/nord-designs
Frost*collective,Interior Design,Strategic creative group,5.0,1 REVIEW,No,"$100,000+",$200 - $300 / hr,10 - 49,"Alexandria, Australia","Interior Design,Branding,Logo,Graphic Design,Packaging Design,Print Design","20,30,25,10,10,5",“Their team is good at distilling our message and turning it into something eye-catching and creative.”,https://www.frostcollective.com.au/,https://clutch.co/profile/frostcollective
Blenwiq,Interior Design,"You imagine, we create!",5.0,31 REVIEWS,No,"$1,000+",$50 - $99 / hr,10 - 49,"Al Wakrah, Qatar","Interior Design,Video Production,Graphic Design","20,50,30","""Even though they had no experience in some project areas, they took the time to internalize it to be up to the task.""",https://www.blenwiq.com/,https://clutch.co/profile/blenwiq
Mapia Services Private Limited,Interior Design,Connecting People with Professionals,5.0,2 REVIEWS,No,Undisclosed,Undisclosed,2 - 9,"Lahore, Pakistan","Interior Design,Architectural Design,Engineering,Out of Home Design","25,40,25,10","""Their platform connected so many individuals on a single page.""",https://mapia.pk/,https://clutch.co/profile/mapia-services-private
RENDER.BAR,Interior Design,We do high-end CG content of architecture-to-be.,5.0,2 REVIEWS,No,"$1,000+",$25 - $49 / hr,10 - 49,"Львів, Ukraine","Interior Design,Other Digital Marketing,Architectural Design","25,50,25","""RENDER.BAR is a great company producing phenomenal work.""",https://render.bar/,https://clutch.co/profile/renderbar
Nicole Lanteri Design,Interior Design,Fun and Functional Corporate Spaces,5.0,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Arlington, VA",Interior Design,100,“Nicole Lanteri Design was able to aggregate multiple opinions and ultimately create a space that pleased everyone.”,http://nicolelanteri.com/,https://clutch.co/profile/nicole-lanteri-design
Start Design,Interior Design,Defining Experiences. Defining Brands.,5.0,2 REVIEWS,No,"$25,000+",$150 - $199 / hr,10 - 49,"Dubai, United Arab Emirates","Interior Design,Branding,Digital Strategy,UX/UI Design,Graphic Design,Web Design","25,25,15,15,10,10","""The look and feel of the store fits our brand as well as creating the necessary wow factor.""",https://www.startdesign.com/,https://clutch.co/profile/start-design
Cutler,Interior Design,Architecture. Interior Design.,4.8,4 REVIEWS,No,"$25,000+",$100 - $149 / hr,10 - 49,"Vancouver, Canada","Interior Design,Architectural Design","75,25","""We were extremely happy with the overall outcome.""",https://www.cutlerdc.com/,https://clutch.co/profile/cutler
Tardigrada Design Studio,Interior Design,Branding and Visual experiences.,4.8,3 REVIEWS,No,"$5,000+",$100 - $149 / hr,2 - 9,"Vancouver, Canada","Interior Design,Branding,Graphic Design,Logo,Packaging Design,Print Design,UX/UI Design,Web Design","30,40,5,5,5,5,5,5","""They listen to us deeply and ask the right questions to evolve the outcome.""",https://tardigradastudio.com/,https://clutch.co/profile/tardigrada-design-studio
Newmat India,Interior Design,Your stretch ceiling specialists.,4.5,2 REVIEWS,No,"$1,000+",$25 - $49 / hr,10 - 49,"Mumbai, India","Interior Design,Lighting Design","50,50","""They did the work in the given timeline.""",http://www.newmat.in/,https://clutch.co/profile/newmat-india
Freedes Studio,Interior Design,"3D Visualization, Rendering, CGI, 3Dsmax",5.0,7 REVIEWS,No,"$1,000+",< $25 / hr,10 - 49,"Dnipro, Ukraine","Interior Design,Architectural Design","50,50","""The quality of their work and their customer service were impressive.""",https://freedesstudio.com/,https://clutch.co/profile/freedes-studio
MURSHID INTERIORS مرشد للتصميم الداخلي,Interior Design,TOP - BEST & PROFESSIONAL INTERIOR DESIGN IN DUBAI,5.0,1 REVIEW,No,"$1,000+",Undisclosed,10 - 49,"Dubai, United Arab Emirates","Interior Design,Engineering","50,50",''ALL IS EXCELLENT - HIGHLY RECOMMENDED BY US.'',https://www.interiordecor.ae/,https://clutch.co/profile/murshid-interiors
CLIPPING FLY,Interior Design,Photo Editing,5.0,1 REVIEW,No,"$1,000+",$25 - $49 / hr,10 - 49,"Los Angeles, CA","Interior Design,Architectural Design,Graphic Design","50,25,25","ClippingFly is one of the online assisted overseas clipping path and photo editing companies.The Clipping Path Company provides professional photo editing services such as removing background, …",https://clippingfly.com/,https://clutch.co/profile/clipping-fly
MCORP,Interior Design,Design and construction company,5.0,2 REVIEWS,No,"$5,000+",$100 - $149 / hr,10 - 49,"Kharkiv, Ukraine","Interior Design,Architectural Design","45,55",“They managed to put many of the elements we wanted inside the house.”,https://m2corp.com.ua/,https://clutch.co/profile/mcorp
Vigor,Interior Design,Do it with Vigor,4.8,11 REVIEWS,No,"$50,000+",$150 - $199 / hr,10 - 49,"Atlanta, GA","Interior Design,Branding,Advertising,Packaging Design,Other","10,50,20,15,5",“We’re very impressed with Vigor’s creativity.”,https://vigorbranding.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/vigor
Hager Design International Inc,Interior Design,Hospitality/ Retail Design Specialists,5.0,2 REVIEWS,No,Undisclosed,Undisclosed,10 - 49,"Vancouver, Canada","Interior Design,Architectural Design","50,50","""They constantly meet deadlines and minimize the number of overages to clients regarding extra costs.""",https://www.hagerinc.com/,https://clutch.co/profile/hager-design-international
"ABS Architects, LLC (Alt Breeding Schwarz Architects)",Interior Design,Architectural and Interiors Firm,5.0,1 REVIEW,No,Undisclosed,Undisclosed,10 - 49,"Annapolis, MD","Interior Design,Architectural Design","50,50","""Their expertise is incomparable, but their ability to inspire trust is what made this a success.""",http://www.absarchitects.com/,https://clutch.co/profile/abs-architects-alt-breeding-schwarz-architects
Red Chair Designs LLC,Interior Design,Interior Design Firm,4.5,1 REVIEW,No,Undisclosed,Undisclosed,2 - 9,"Denver, CO",Interior Design,100,"“They’re approachable and fun, and that makes doing the project enjoyable.”",http://redchairdesigns.com/,https://clutch.co/profile/red-chair-designs
UpperKey,Interior Design,Unlock you property's potential with UpperKey,5.0,3 REVIEWS,No,Undisclosed,Undisclosed,10 - 49,"London, United Kingdom","Interior Design,Commercial Property Management,Corporate Relocation,Business Consulting,Commercial Brokerage Services,Commercial Development","25,35,20,10,5,5","""Flexible management is the specialty of UpperKey.""",https://www.theupperkey.com/,https://clutch.co/profile/upperkey
3D Rendering Solaris17,Interior Design,ArchVis that beams with Quality,5.0,3 REVIEWS,No,"$1,000+",< $25 / hr,2 - 9,"Herts, United Kingdom","Interior Design,Architectural Design,Product Design","40,50,10","""We enjoyed the level of attention and detail that was a common theme throughout the process.""",https://www.solaris17.co.uk/,https://clutch.co/profile/3d-rendering-solaris17
VIZfire,Interior Design,"Renderings, Animations, VR",5.0,1 REVIEW,No,"$5,000+",$100 - $149 / hr,2 - 9,"Chicago, IL","Interior Design,AR/VR Development,Architectural Design","35,35,30","“Relative to other companies we’ve worked with, their product is certainly a step above the rest.”",https://vizfire.net/,https://clutch.co/profile/vizfire
PIXREADY,Interior Design,3D Visualization And Modeling Services,4.9,5 REVIEWS,No,Undisclosed,$25 - $49 / hr,10 - 49,"L'viv, Ukraine","Interior Design,Product Design,Architectural Design","35,35,30","""Their capacity to quickly learn and adapt to our changes is impressive.""",https://pixready.com/,https://clutch.co/profile/pixready
xolve branding,Interior Design,Strategic Branding Agency,5.0,4 REVIEWS,No,"$10,000+",Undisclosed,10 - 49,"Ho Chi Minh, Vietnam","Interior Design,Branding,Business Consulting,Logo,Market Research,Web Design","10,50,10,10,10,10","""Their creativity was top-notch!""",http://www.xolvebranding.com/,https://clutch.co/profile/xolve-branding
Lemonade Studio,Interior Design,Internet Software House & Creative Studio,5.0,10 REVIEWS,No,"$5,000+",$50 - $99 / hr,2 - 9,"Rzeszów, Poland","Interior Design,AR/VR Development,Web Development,Architectural Design,Web Design","30,30,20,10,10","""The most impressive part of working with them was the knowledge they had.""",https://portfolio.lemonadestudio.pl/,https://clutch.co/profile/lemonade-studio-0
Kasian,Interior Design,The power of design can create a better world.,,,No,Undisclosed,Undisclosed,250 - 999,"Vancouver, Canada","Interior Design,Architectural Design","50,50","As architects, designers, and planners, we champion people and apply design solutions that improve lives and create a deeper connection between people and place. With an insatiable curiosity for the…",http://kasian.com/,https://clutch.co/profile/kasian
Asteroid,Interior Design,We create an impact!,5.0,3 REVIEWS,No,"$5,000+",$50 - $99 / hr,2 - 9,"Rīga, Latvia","Interior Design,Graphic Design,Branding,Architectural Design","10,40,30,20","""We found a 'one-stop-shop' solution for all our marketing and communication needs.""",https://www.asteroid.lv/,https://clutch.co/profile/asteroid
